time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.56402e-07	1.96843
1	2.56402e-07	5.98213e-07	1.96843
2	5.98213e-07	1.05388e-06	1.96864
3	1.05388e-06	1.66134e-06	83.2867
4	1.66134e-06	2.47115e-06	747.425
5	2.47115e-06	3.55071e-06	1599.45
6	3.55071e-06	4.98987e-06	3146.31
7	4.98987e-06	6.90844e-06	5405.7
8	6.90844e-06	9.46609e-06	7487.54
9	9.46609e-06	1.28757e-05	8974.43
10	1.28757e-05	1.74211e-05	10011.1
11	1.74211e-05	2.34806e-05	10658.8
12	2.34806e-05	3.15585e-05	10789.3
13	3.15585e-05	4.23273e-05	10304.2
14	4.23273e-05	5.66832e-05	9331.22
15	5.66832e-05	7.58212e-05	8156.31
16	7.58212e-05	0.000101334	7030.41
17	0.000101334	0.000135346	6050.56
18	0.000135346	0.000180687	5198.98
19	0.000180687	0.000241131	4416.45
20	0.000241131	0.00032171	3664.91
21	0.00032171	0.00042913	2946.15
22	0.00042913	0.000572332	2291.75
23	0.000572332	0.000763237	1737.39
24	0.000763237	0.00101773	1300.29
25	0.00101773	0.001357	975.601
26	0.001357	0.00180929	743.611
27	0.00180929	0.00241223	515.36
28	0.00241223	0.00321601	515.36
29	0.00321601	0.00428755	110.929
30	0.00428755	0.00571601	110.929
31	0.00571601	inf	110.929
