time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.52302e-07	1.80573
1	4.52302e-07	1.0481e-06	1.80573
2	1.0481e-06	1.83291e-06	1489.51
3	1.83291e-06	2.8667e-06	3551.86
4	2.8667e-06	4.22845e-06	4633.21
5	4.22845e-06	6.02223e-06	6519.41
6	6.02223e-06	8.38507e-06	8919.29
7	8.38507e-06	1.14975e-05	11146.3
8	1.14975e-05	1.55974e-05	12598.8
9	1.55974e-05	2.0998e-05	12924.8
10	2.0998e-05	2.81118e-05	12248.2
11	2.81118e-05	3.74826e-05	10977.1
12	3.74826e-05	4.98262e-05	9463.09
13	4.98262e-05	6.60858e-05	7973.66
14	6.60858e-05	8.75037e-05	6681.76
15	8.75037e-05	0.000115716	5639.98
16	0.000115716	0.00015288	4827.04
17	0.00015288	0.000201833	4178.22
18	0.000201833	0.000266316	3605.06
19	0.000266316	0.000351257	3043.46
20	0.000351257	0.000463145	2479.64
21	0.000463145	0.00061053	1948.19
22	0.00061053	0.000804672	1495.2
23	0.000804672	0.0010604	1142.19
24	0.0010604	0.00139727	882.812
25	0.00139727	0.001841	699.702
26	0.001841	0.00242551	576.405
27	0.00242551	0.00319545	476.662
28	0.00319545	0.00420966	476.662
29	0.00420966	0.00554562	70.0787
30	0.00554562	0.00730541	70.0787
31	0.00730541	inf	70.0787
