time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.50402e-07	1.1214
1	4.50402e-07	1.05084e-06	1.1214
2	1.05084e-06	1.85128e-06	4.79977
3	1.85128e-06	2.91836e-06	22.4976
4	2.91836e-06	4.34088e-06	151.672
5	4.34088e-06	6.23726e-06	533.969
6	6.23726e-06	8.76534e-06	1109.07
7	8.76534e-06	1.21355e-05	1594.71
8	1.21355e-05	1.66284e-05	1662.56
9	1.66284e-05	2.26178e-05	1707.55
10	2.26178e-05	3.06023e-05	1855.53
11	3.06023e-05	4.12466e-05	1991.95
12	4.12466e-05	5.54365e-05	2122.71
13	5.54365e-05	7.43532e-05	2274.95
14	7.43532e-05	9.95712e-05	2435.55
15	9.95712e-05	0.000133189	2579.38
16	0.000133189	0.000178006	2690.62
17	0.000178006	0.000237752	2756.53
18	0.000237752	0.000317399	2758.06
19	0.000317399	0.000423577	2670.94
20	0.000423577	0.000565124	2478.2
21	0.000565124	0.000753821	2182.31
22	0.000753821	0.00100537	1812.02
23	0.00100537	0.00134072	1419.38
24	0.00134072	0.00178777	1062.21
25	0.00178777	0.00238375	778.975
26	0.00238375	0.00317824	577.169
27	0.00317824	0.00423738	401.74
28	0.00423738	0.00564933	401.74
29	0.00564933	0.00753161	41.0694
30	0.00753161	0.0100409	41.0694
31	0.0100409	inf	41.0694
