time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.45661e-07	27.4855
1	4.45661e-07	1.03978e-06	27.4855
2	1.03978e-06	1.83179e-06	21.6716
3	1.83179e-06	2.88764e-06	36.1753
4	2.88764e-06	4.29519e-06	171.256
5	4.29519e-06	6.17161e-06	515.683
6	6.17161e-06	8.67308e-06	998.123
7	8.67308e-06	1.20078e-05	1372.69
8	1.20078e-05	1.64533e-05	1512.09
9	1.64533e-05	2.23797e-05	1683.86
10	2.23797e-05	3.02802e-05	1924.63
11	3.02802e-05	4.08124e-05	2128.34
12	4.08124e-05	5.4853e-05	2284.29
13	5.4853e-05	7.35706e-05	2425.91
14	7.35706e-05	9.85231e-05	2562.04
15	9.85231e-05	0.000131788	2681.79
16	0.000131788	0.000176133	2770.48
17	0.000176133	0.000235249	2813.11
18	0.000235249	0.000314058	2794.21
19	0.000314058	0.000419118	2694.66
20	0.000419118	0.000559175	2496.5
21	0.000559175	0.000745886	2196.87
22	0.000745886	0.000994792	1819.04
23	0.000994792	0.00132661	1413.41
24	0.00132661	0.00176896	1041.3
25	0.00176896	0.00235865	744.915
26	0.00235865	0.00314478	532.65
27	0.00314478	0.00419278	342.273
28	0.00419278	0.00558987	342.273
29	0.00558987	0.00745234	75.9298
30	0.00745234	0.00993521	75.9298
31	0.00993521	inf	75.9298
