time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.97765e-07	1.27021
1	3.97765e-07	9.28028e-07	1.27021
2	9.28028e-07	1.63493e-06	370.871
3	1.63493e-06	2.5773e-06	296.758
4	2.5773e-06	3.83358e-06	276.077
5	3.83358e-06	5.50833e-06	618.318
6	5.50833e-06	7.74096e-06	1276.52
7	7.74096e-06	1.07173e-05	1742.6
8	1.07173e-05	1.46851e-05	2204.36
9	1.46851e-05	1.99745e-05	2619.96
10	1.99745e-05	2.70259e-05	2796.06
11	2.70259e-05	3.64262e-05	2896.61
12	3.64262e-05	4.89578e-05	3003.68
13	4.89578e-05	6.56638e-05	3108.72
14	6.56638e-05	8.79346e-05	3196.13
15	8.79346e-05	0.000117624	3271.08
16	0.000117624	0.000157203	3331.25
17	0.000157203	0.000209966	3353.06
18	0.000209966	0.000280305	3305.01
19	0.000280305	0.000374075	3162.69
20	0.000374075	0.000499079	2913.48
21	0.000499079	0.000665724	2559.58
22	0.000665724	0.000887879	2126.44
23	0.000887879	0.00118403	1666.39
24	0.00118403	0.00157884	1242.2
25	0.00157884	0.00210516	898.002
26	0.00210516	0.00280681	643.945
27	0.00280681	0.00374217	400.695
28	0.00374217	0.00498911	400.695
29	0.00498911	0.00665142	52.4302
30	0.00665142	0.00886745	52.4302
31	0.00886745	inf	52.4302
