time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.9251e-07	1.28599
1	3.9251e-07	9.15769e-07	1.28599
2	9.15769e-07	1.61333e-06	276.457
3	1.61333e-06	2.54325e-06	926.911
4	2.54325e-06	3.78293e-06	1436.45
5	3.78293e-06	5.43557e-06	2354
6	5.43557e-06	7.6387e-06	3881.98
7	7.6387e-06	1.05757e-05	5720.22
8	1.05757e-05	1.44911e-05	7252.66
9	1.44911e-05	1.97107e-05	7825.53
10	1.97107e-05	2.66689e-05	7404.85
11	2.66689e-05	3.5945e-05	6503.31
12	3.5945e-05	4.83111e-05	5594.33
13	4.83111e-05	6.47963e-05	4877.15
14	6.47963e-05	8.67729e-05	4351.64
15	8.67729e-05	0.00011607	3935.62
16	0.00011607	0.000155126	3553.97
17	0.000155126	0.000207193	3173.66
18	0.000207193	0.000276602	2797.37
19	0.000276602	0.000369133	2435.41
20	0.000369133	0.000492486	2091.05
21	0.000492486	0.000656929	1760.98
22	0.000656929	0.00087615	1443.08
23	0.00087615	0.00116839	1144.38
24	0.00116839	0.00155799	880.208
25	0.00155799	0.00207735	664.518
26	0.00207735	0.00276973	503.287
27	0.00276973	0.00369274	357.07
28	0.00369274	0.0049232	357.07
29	0.0049232	0.00656355	111.306
30	0.00656355	0.00875031	111.306
31	0.00875031	inf	111.306
