time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.46856e-07	2.69536
1	3.46856e-07	8.09253e-07	2.69536
2	8.09253e-07	1.42568e-06	590.04
3	1.42568e-06	2.24744e-06	1075.37
4	2.24744e-06	3.34293e-06	1228.84
5	3.34293e-06	4.80334e-06	1550.55
6	4.80334e-06	6.75022e-06	2691.3
7	6.75022e-06	9.34562e-06	4895.62
8	9.34562e-06	1.28056e-05	7323.76
9	1.28056e-05	1.7418e-05	8585.73
10	1.7418e-05	2.3567e-05	8448.07
11	2.3567e-05	3.17641e-05	7606.71
12	3.17641e-05	4.26918e-05	6664.33
13	4.26918e-05	5.72597e-05	5868.45
14	5.72597e-05	7.66801e-05	5269.04
15	7.66801e-05	0.00010257	4821.97
16	0.00010257	0.000137083	4428.41
17	0.000137083	0.000183093	4008.62
18	0.000183093	0.00024443	3542.98
19	0.00024443	0.000326198	3056.78
20	0.000326198	0.000435204	2583.19
21	0.000435204	0.00058052	2142.48
22	0.00058052	0.000774242	1739.05
23	0.000774242	0.00103249	1371.7
24	0.00103249	0.00137677	1046.32
25	0.00137677	0.00183573	774.481
26	0.00183573	0.00244757	564.555
27	0.00244757	0.00326322	363.565
28	0.00326322	0.00435057	363.565
29	0.00435057	0.00580012	186.419
30	0.00580012	0.00773253	186.419
31	0.00773253	inf	186.419
