time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.5409e-07	1.9865
1	2.5409e-07	5.92819e-07	1.9865
2	5.92819e-07	1.04438e-06	1.98646
3	1.04438e-06	1.64636e-06	95.061
4	1.64636e-06	2.44886e-06	929.599
5	2.44886e-06	3.51869e-06	2336.52
6	3.51869e-06	4.94488e-06	4408.02
7	4.94488e-06	6.84614e-06	6609.84
8	6.84614e-06	9.38072e-06	8270.08
9	9.38072e-06	1.27596e-05	9453.75
10	1.27596e-05	1.7264e-05	10382
11	1.7264e-05	2.32688e-05	10957.7
12	2.32688e-05	3.12739e-05	10956.6
13	3.12739e-05	4.19456e-05	10322.5
14	4.19456e-05	5.6172e-05	9263.63
15	5.6172e-05	7.51374e-05	8078.92
16	7.51374e-05	0.00010042	6990.88
17	0.00010042	0.000134125	6054.64
18	0.000134125	0.000179057	5227.58
19	0.000179057	0.000238956	4457.44
20	0.000238956	0.000318809	3711.07
21	0.000318809	0.00042526	2990.39
22	0.00042526	0.000567171	2333.5
23	0.000567171	0.000756354	1781.87
24	0.000756354	0.00100855	1352.39
25	0.00100855	0.00134477	1039.79
26	0.00134477	0.00179297	827.609
27	0.00179297	0.00239047	672.801
28	0.00239047	0.00318701	672.801
29	0.00318701	0.00424888	55.22
30	0.00424888	0.00566447	55.22
31	0.00566447	inf	55.22
