"time_index","mean","lowerci","upperci","t_test_lwr","t_test_upr"
0,1.79931338692141,1.61486854287037,1.98375823097244,1.58814029146411,1.99493423145174
1,1.84260709720781,1.75133746560691,1.93387672880872,1.67496285063836,1.9979048590915
2,1.88979222795978,1.88109175833404,1.89849269758552,1.73372973504156,2.03436119683368
3,123.316441803103,96.1911792532944,150.441704352912,98.4873980148665,146.316902653561
4,936.219950475459,788.65760597365,1083.78229497727,791.698254920567,1070.09806632247
5,2065.45851107761,1792.33791341099,2338.57910874423,1783.40210745923,2326.74232548367
6,3579.78622403065,3148.33744382885,4011.23500423245,3118.91547687409,4006.71525390002
7,5355.05866314835,4764.50950819134,5945.60781810537,4700.86295259679,5961.0748656816
8,6971.36971905305,6237.79303348566,7704.94640462043,6141.61737018584,7740.01335182709
9,8264.24916376048,7409.21562240844,9119.28270511253,7289.54219332192,9167.17195472444
10,9241.63291753607,8289.55471338074,10193.7111216914,8154.1322141458,10249.0425288971
11,9828.30954083938,8816.93013984544,10839.6889418333,8672.46418722653,10899.0304285101
12,9872.0891568168,8857.47271487647,10886.7055987571,8711.86539630785,10946.8659951419
13,9333.30198138274,8375.40374415899,10291.2002186065,8237.21512397805,10348.6654028441
14,8394.45648384696,7533.75650036596,9255.15646732796,7409.13701599209,9307.21019433528
15,7332.43267069478,6581.14751033588,8083.71783105368,6472.08818817564,8129.41542028678
16,6349.7213825636,5699.56896642103,6999.87379870617,5604.95133261567,7039.6414021391
17,5502.46857872908,4939.50026393102,6065.43689352714,4857.33684092182,6100.08834231635
18,4754.01093081001,4268.02799428249,5239.99386733753,4196.87924215302,5270.11157901845
19,4050.48679164866,3636.77113575832,4464.202447539,3576.01367274232,4490.01642029954
20,3362.49509414648,3019.39303455008,3705.59715374289,2968.82029439352,3727.17695208497
21,2697.57818728408,2422.7663515947,2972.39002297346,2382.01880691398,2989.89758693956
22,2093.97213900507,1881.23950510659,2306.70477290354,1849.37682569322,2320.55375753281
23,1589.57193556224,1428.74887411843,1750.39499700605,1404.29682559659,1761.2021018173
24,1197.91046539881,1077.31119740217,1318.50973339544,1058.64570130138,1326.91880667004
25,911.125113192025,819.596072351893,1002.65415403216,805.319967264964,1009.13803456862
26,711.234587370524,638.822539953509,783.646634787539,628.061791796557,788.281961596371
27,540.29719796587,474.859941677549,605.734454254191,470.529108850912,604.927081258441
28,540.340910905284,474.978752669454,605.703069141113,470.619905669527,604.927177901976
29,81.3402717926389,67.2926000940507,95.387943491227,67.8874889163208,93.8022984625125
30,81.3848887744159,67.3733328216007,95.3964447272311,67.9571150108622,93.823748175991
31,81.4295180468762,67.453547865574,95.4054882281784,68.0263356343545,93.8455971750144
