time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.51225e-07	2.29598
1	4.51225e-07	1.0456e-06	2.29598
2	1.0456e-06	1.82854e-06	1257.72
3	1.82854e-06	2.85987e-06	2673.31
4	2.85987e-06	4.21838e-06	3730.17
5	4.21838e-06	6.00788e-06	5466.15
6	6.00788e-06	8.3651e-06	7982.67
7	8.3651e-06	1.14701e-05	10435.1
8	1.14701e-05	1.55603e-05	12122.4
9	1.55603e-05	2.09479e-05	12686.7
10	2.09479e-05	2.80449e-05	12183.5
11	2.80449e-05	3.73933e-05	10992.7
12	3.73933e-05	4.97075e-05	9519.63
13	4.97075e-05	6.59284e-05	8053.76
14	6.59284e-05	8.72953e-05	6764.32
15	8.72953e-05	0.000115441	5713.64
16	0.000115441	0.000152515	4886.83
17	0.000152515	0.000201352	4222.96
18	0.000201352	0.000265682	3640.16
19	0.000265682	0.00035042	3074.76
20	0.00035042	0.000462042	2511.46
21	0.000462042	0.000609075	1982.09
22	0.000609075	0.000802755	1526.7
23	0.000802755	0.00105788	1166.03
24	0.00105788	0.00139394	896.541
25	0.00139394	0.00183662	701.112
26	0.00183662	0.00241973	562.08
27	0.00241973	0.00318784	423.246
28	0.00318784	0.00419963	423.246
29	0.00419963	0.00553241	83.9765
30	0.00553241	0.00728801	83.9765
31	0.00728801	inf	83.9765
