"time_index","mean","lowerci","upperci","t_test_lwr","t_test_upr"
0,5.07281165505274,1.25407228917874,8.89155102092673,1.80767078716352,8.09748491043992
1,5.11800221188912,1.31064603523026,8.92535838854798,1.8621959735696,8.13402830455016
2,1162.2544316683,989.771498131214,1334.73736520539,990.48986553223,1321.36906421731
3,2894.35172747569,2559.01923872404,3229.68421622734,2530.49226027087,3231.41406068072
4,4040.0860604119,3586.06513545092,4494.10698537288,3541.17253335436,4502.25613609913
5,5886.77686051023,5250.50023530911,6523.05348571135,5175.70391364254,6545.48146531659
6,8132.8900708101,7279.24821747865,8986.53192414154,7166.215749383,9028.37179273049
7,10094.0494857517,9050.76366013729,11137.3353113662,8904.17803586161,11196.2905520485
8,11330.9127294441,10165.7318358138,12496.0936230744,9998.85595478348,12564.8676073474
9,11625.7765593361,10431.9713207642,12819.581797908,10260.0861305959,12890.8880758322
10,11052.8995116157,9918.66857074787,12187.1304524835,9754.95925301546,12255.2504502495
11,9933.50915796904,8914.69826634389,10952.3200495942,8767.35237929058,11013.7820658689
12,8593.23408397415,7712.27318300872,9474.19498493958,7584.6554736993,9527.53397236641
13,7273.91624794032,6528.59203675386,8019.24045912677,6420.41671571537,8064.55815683754
14,6121.33972224497,5494.60249904175,6748.0769454482,5403.37576866505,6786.4278322502
15,5180.74787294012,4650.85559176229,5710.64015411794,4573.43298923147,5743.33587776933
16,4433.38142637354,3980.42272114665,4886.34013160042,3913.9748293108,4914.53532030122
17,3829.37103049806,3438.54179542168,4220.20026557444,3380.98193784492,4244.73764144371
18,3298.74713794447,2962.41694977894,3635.07732611,2912.69741381333,3656.36548369869
19,2783.28554298858,2499.82652932118,3066.74455665597,2457.75106981626,3084.8454004496
20,2268.2942891522,2037.63294090929,2498.95563739511,2003.20443036436,2513.86109272729
21,1784.33586570274,1603.31213660072,1965.35959480476,1576.06101299404,1977.27191417557
22,1371.02695452345,1232.4490754723,1509.6048335746,1211.30547705452,1518.98543495603
23,1047.53854636981,942.251226903795,1152.82586583582,925.859532461486,1160.25627402739
24,808.818441707892,728.139515263592,889.497368152192,715.236690134572,895.508184242367
25,638.886686676525,575.61963718477,702.15373616828,565.241558603274,707.108076896888
26,523.355259826617,471.33741610289,575.373103550344,462.913410801236,579.345752013683
27,437.966733175818,385.522758634546,490.41070771709,381.804962156828,489.992361976983
28,438.010446954727,385.641534266918,490.379359642535,381.895476102144,489.992722278229
29,63.2628632406581,54.6467203034816,71.8790061778346,54.452396131746,71.4244664639279
30,63.3074149390768,54.7302027660847,71.8846271120689,54.5216354815787,71.4461486807557
31,63.3519861804732,54.81286207847,71.8911102824764,54.5902572625576,71.4684406310598
