time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.56133e-07	1.97301
1	2.56133e-07	5.97587e-07	1.97301
2	5.97587e-07	1.05278e-06	1.97085
3	1.05278e-06	1.6596e-06	208.973
4	1.6596e-06	2.46856e-06	1108.05
5	2.46856e-06	3.54699e-06	2270.35
6	3.54699e-06	4.98465e-06	4194.16
7	4.98465e-06	6.9012e-06	6306.11
8	6.9012e-06	9.45617e-06	8094.89
9	9.45617e-06	1.28622e-05	9472.55
10	1.28622e-05	1.74029e-05	10463.1
11	1.74029e-05	2.3456e-05	10993.9
12	2.3456e-05	3.15255e-05	10940
13	3.15255e-05	4.2283e-05	10290.3
14	4.2283e-05	5.66239e-05	9238.37
15	5.66239e-05	7.57418e-05	8057.73
16	7.57418e-05	0.000101228	6960.6
17	0.000101228	0.000135204	6013.28
18	0.000135204	0.000180497	5174.76
19	0.000180497	0.000240878	4386.81
20	0.000240878	0.000321373	3622.48
21	0.000321373	0.000428681	2893.45
22	0.000428681	0.000571733	2241.76
23	0.000571733	0.000762437	1706.81
24	0.000762437	0.00101667	1302.26
25	0.00101667	0.00135558	1022.63
26	0.00135558	0.00180739	854.865
27	0.00180739	0.0024097	917.838
28	0.0024097	0.00321265	917.838
29	0.00321265	0.00428306	29.7764
30	0.00428306	0.00571003	29.7764
31	0.00571003	inf	29.7764
