time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.52184e-07	1860.03
1	4.52184e-07	1.04782e-06	1860.03
2	1.04782e-06	1.83243e-06	12098.6
3	1.83243e-06	2.86595e-06	17013.8
4	2.86595e-06	4.22735e-06	19774.8
5	4.22735e-06	6.02065e-06	21434.5
6	6.02065e-06	8.38288e-06	21548.8
7	8.38288e-06	1.14945e-05	20400
8	1.14945e-05	1.55933e-05	18582.7
9	1.55933e-05	2.09925e-05	16373.5
10	2.09925e-05	2.81045e-05	14026.5
11	2.81045e-05	3.74728e-05	11791.8
12	3.74728e-05	4.98132e-05	9822.11
13	4.98132e-05	6.60685e-05	8180.3
14	6.60685e-05	8.74808e-05	6855.56
15	8.74808e-05	0.000115686	5793.72
16	0.000115686	0.00015284	4931.64
17	0.00015284	0.00020178	4206.36
18	0.00020178	0.000266247	3554.86
19	0.000266247	0.000351165	2937.82
20	0.000351165	0.000463024	2356.31
21	0.000463024	0.00061037	1839.76
22	0.00061037	0.000804461	1414.4
23	0.000804461	0.00106013	1087.6
24	0.00106013	0.0013969	849.272
25	0.0013969	0.00184052	684.826
26	0.00184052	0.00242488	585.531
27	0.00242488	0.00319462	586.01
28	0.00319462	0.00420856	586.01
29	0.00420856	0.00554417	43.1049
30	0.00554417	0.0073035	43.1049
31	0.0073035	inf	43.1049
