time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.46668e-07	77.5833
1	4.46668e-07	1.04212e-06	77.5833
2	1.04212e-06	1.83593e-06	51.8723
3	1.83593e-06	2.89416e-06	20.1961
4	2.89416e-06	4.30489e-06	70.361
5	4.30489e-06	6.18555e-06	306.849
6	6.18555e-06	8.69266e-06	765.875
7	8.69266e-06	1.20349e-05	1249.64
8	1.20349e-05	1.64905e-05	1583.56
9	1.64905e-05	2.24303e-05	1795.25
10	2.24303e-05	3.03486e-05	2000.36
11	3.03486e-05	4.09046e-05	2204.42
12	4.09046e-05	5.49769e-05	2360.92
13	5.49769e-05	7.37367e-05	2479.37
14	7.37367e-05	9.87456e-05	2571.87
15	9.87456e-05	0.000132085	2644.96
16	0.000132085	0.00017653	2705.63
17	0.00017653	0.00023578	2749.27
18	0.00023578	0.000314767	2752.81
19	0.000314767	0.000420065	2678.91
20	0.000420065	0.000560438	2495.94
21	0.000560438	0.00074757	2200.8
22	0.00074757	0.000997038	1823.81
23	0.000997038	0.0013296	1417.76
24	0.0013296	0.00177295	1042.23
25	0.00177295	0.00236398	740.156
26	0.00236398	0.00315189	522.541
27	0.00315189	0.00420225	323.312
28	0.00420225	0.00560249	323.312
29	0.00560249	0.00746917	86.8878
30	0.00746917	0.00995764	86.8878
31	0.00995764	inf	86.8878
