time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.08187e-07	1.2368
1	4.08187e-07	9.52343e-07	1.2368
2	9.52343e-07	1.67776e-06	438.896
3	1.67776e-06	2.64482e-06	414.823
4	2.64482e-06	3.93402e-06	228.934
5	3.93402e-06	5.65265e-06	413.366
6	5.65265e-06	7.94377e-06	911.924
7	7.94377e-06	1.09981e-05	1402.07
8	1.09981e-05	1.50698e-05	1883.4
9	1.50698e-05	2.04979e-05	2328.63
10	2.04979e-05	2.7734e-05	2612.75
11	2.7734e-05	3.73806e-05	2749.91
12	3.73806e-05	5.02405e-05	2826.26
13	5.02405e-05	6.73842e-05	2903.86
14	6.73842e-05	9.02385e-05	3004.63
15	9.02385e-05	0.000120706	3121.33
16	0.000120706	0.000161322	3225.18
17	0.000161322	0.000215467	3274.23
18	0.000215467	0.000287649	3235.8
19	0.000287649	0.000383875	3096.16
20	0.000383875	0.000512155	2851.38
21	0.000512155	0.000683166	2505.92
22	0.000683166	0.000911141	2084.73
23	0.000911141	0.00121506	1639.41
24	0.00121506	0.00162021	1231.94
25	0.00162021	0.00216032	904.282
26	0.00216032	0.00288035	664.422
27	0.00288035	0.00384022	443.065
28	0.00384022	0.00511983	443.065
29	0.00511983	0.00682568	20.4802
30	0.00682568	0.00909977	20.4802
31	0.00909977	inf	20.4802
