"time_index","mean","lowerci","upperci","t_test_lwr","t_test_upr"
0,1.14119894158107,1.02421298060527,1.25818490255687,1.0072621627296,1.26527168738166
1,1.18449818770066,1.1604487340481,1.20854764135322,1.08543120018788,1.27626919536791
2,220.401641533507,161.094170608687,279.709112458327,167.462567863908,269.441914762797
3,365.867186960318,315.659605231386,416.074768689251,314.653654849044,413.308999475753
4,272.835562142135,234.936282573275,310.734841710995,234.327945829878,308.50721059499
5,601.054648863898,515.104189852615,687.005107875181,514.512426514887,681.223301915012
6,1228.47060420577,1064.10051085295,1392.84069755859,1059.39995105854,1385.0897221968
7,1562.86207276629,1373.08389508386,1752.64025044873,1360.72646021922,1750.11101728968
8,1873.63130623115,1665.36418154398,2081.89843091832,1643.70417884692,2086.62500574545
9,2215.68144369252,1983.24159167104,2448.121295714,1952.40057075607,2459.57248767699
10,2451.49704029511,2198.23586276998,2704.75821782024,2162.58949362241,2719.12743207828
11,2590.16670331043,2323.53325656481,2856.80015005605,2285.49701256286,2872.39840559131
12,2681.69595383998,2406.37282426019,2957.01908341976,2366.7048649567,2973.48891493401
13,2758.75743968167,2475.78504060799,3041.72983875536,2434.87396627054,3058.78788845121
14,2836.0339099707,2545.23651203427,3126.83130790712,2503.13955183361,3144.41161943762
15,2912.2313046851,2614.00024666346,3210.46236270675,2570.62287493434,3228.68132111269
16,2973.49458896253,2669.55551289844,3277.43366502661,2625.04260557347,3296.28415228842
17,2994.79214609968,2689.15520628141,3300.42908591795,2644.13434905513,3319.62507166938
18,2950.12514090019,2649.35706528392,3250.89321651646,2604.88505802636,3269.93935033465
19,2821.73355060185,2534.28364864994,3109.18345255376,2491.65672093392,3127.50123393155
20,2600.0899821814,2335.47115051951,2864.70881384329,2296.09268936544,2881.69880657646
21,2287.53580132337,2055.06484825944,2520.00675438731,2020.28601787871,2535.10345772763
22,1906.14394444147,1712.85506012544,2099.43282875749,1683.70692535491,2112.19915916612
23,1500.89268353986,1349.15136930117,1652.63399777855,1326.01979661327,1662.88671858471
24,1126.45341363032,1012.93981789095,1239.96700936969,995.430954056713,1247.82647083123
25,821.836578713334,739.154504594379,904.518652832289,726.326486604174,910.31264541636
26,596.587382431939,536.249931966741,656.924832897137,527.064172594855,660.990421054539
27,386.409046731124,344.172951685038,428.645141777211,339.440086858637,429.918886737356
28,386.452609532471,344.298086492327,428.607132572615,339.532389898585,429.917298869213
29,67.2780362785208,41.9707355487031,92.5853370083385,45.2439466462007,87.6893827760355
30,67.3231521786583,42.0304538349104,92.6158505224063,45.3003594085496,87.7240337932222
31,67.3682758750263,42.0898437438903,92.6467080061624,45.3565001633365,87.7589518037405
