time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.91984e-07	1.28942
1	3.91984e-07	9.1454e-07	1.28942
2	9.1454e-07	1.61116e-06	269.371
3	1.61116e-06	2.53984e-06	1061.67
4	2.53984e-06	3.77786e-06	1837.58
5	3.77786e-06	5.42827e-06	2938.31
6	5.42827e-06	7.62845e-06	4523.57
7	7.62845e-06	1.05615e-05	6240.52
8	1.05615e-05	1.44716e-05	7514.79
9	1.44716e-05	1.96842e-05	7941.47
10	1.96842e-05	2.66331e-05	7527.84
11	2.66331e-05	3.58968e-05	6662.33
12	3.58968e-05	4.82463e-05	5751.84
13	4.82463e-05	6.47094e-05	5002.49
14	6.47094e-05	8.66565e-05	4433.1
15	8.66565e-05	0.000115914	3981.92
16	0.000115914	0.000154918	3578.07
17	0.000154918	0.000206915	3183.08
18	0.000206915	0.000276231	2794.91
19	0.000276231	0.000368638	2423.61
20	0.000368638	0.000491826	2073.96
21	0.000491826	0.000656048	1744.76
22	0.000656048	0.000874974	1434.18
23	0.000874974	0.00116683	1146.91
24	0.00116683	0.0015559	896.568
25	0.0015559	0.00207457	697.193
26	0.00207457	0.00276601	554.821
27	0.00276601	0.00368778	440.792
28	0.00368778	0.0049166	440.792
29	0.0049166	0.00655474	70.4246
30	0.00655474	0.00873857	70.4246
31	0.00873857	inf	70.4246
