time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.94722e-07	1.28193
1	3.94722e-07	9.20928e-07	1.28193
2	9.20928e-07	1.62242e-06	216.409
3	1.62242e-06	2.55758e-06	1336.85
4	2.55758e-06	3.80424e-06	2355.04
5	3.80424e-06	5.46619e-06	3246.77
6	5.46619e-06	7.68173e-06	4433.81
7	7.68173e-06	1.06353e-05	6040.99
8	1.06353e-05	1.45727e-05	7485.71
9	1.45727e-05	1.98217e-05	7926.75
10	1.98217e-05	2.68192e-05	7400.35
11	2.68192e-05	3.61475e-05	6464.5
12	3.61475e-05	4.85832e-05	5563.11
13	4.85832e-05	6.51614e-05	4855.87
14	6.51614e-05	8.72618e-05	4321.01
15	8.72618e-05	0.000116724	3896.2
16	0.000116724	0.000156	3518.61
17	0.000156	0.00020836	3146.25
18	0.00020836	0.000278161	2771.91
19	0.000278161	0.000371213	2404.99
20	0.000371213	0.000495261	2055.07
21	0.000495261	0.00066063	1724.91
22	0.00066063	0.000881085	1415.71
23	0.000881085	0.00117498	1133.1
24	0.00117498	0.00156676	887.717
25	0.00156676	0.00208906	689.322
26	0.00208906	0.00278533	541.306
27	0.00278533	0.00371354	403.64
28	0.00371354	0.00495094	403.64
29	0.00495094	0.00660053	81.4855
30	0.00660053	0.0087996	81.4855
31	0.0087996	inf	81.4855
