"time_index","mean","lowerci","upperci","t_test_lwr","t_test_upr"
0,1.98598992558883,0.826574734198455,3.14540511697921,0.991058538185804,2.90764766722514
1,2.03115453325472,0.884241459311301,3.17806760719813,1.04629849108097,2.94347894794226
2,211.756200212707,151.961883040802,271.550517384611,158.632855329064,260.967173646186
3,899.200605333777,773.269983341331,1025.13122732622,771.579257539437,1017.42303220859
4,1633.86831309474,1417.79225244965,1849.94437373983,1410.73186475345,1840.57144625428
5,2577.21203351935,2264.09274816498,2890.33131887372,2243.77280942261,2886.09448123881
6,3907.76667060905,3473.63303394678,4341.90030727132,3428.36836486818,4351.85876118698
7,5413.42352463413,4843.26434241056,5983.58270685769,4768.78238096933,6010.58882483314
8,6631.53558051263,5945.31454880803,7317.75661221723,5849.32752951436,7356.13640716318
9,7067.56172490984,6337.79894679734,7797.32450302235,6234.88391870931,7838.9153640554
10,6710.15688269864,6017.72530073312,7402.58846466417,5919.84741118131,7442.26248508969
11,5950.43574578946,5337.295987348,6563.57550423091,5250.14916307285,6599.14836908852
12,5158.87382313854,4628.39176940466,5689.35587687242,4552.40844088067,5720.67488969386
13,4505.42929692594,4043.21321347942,4967.64538037246,3976.43260396067,4995.46700560057
14,4005.54396171982,3595.43913236132,4415.64879107832,3535.74215302603,4440.74630783092
15,3606.29342882591,3237.64597785248,3974.94087979934,3183.6704470018,3997.79152399439
16,3246.9376290976,2915.44706240909,3578.42819578611,2866.6833335159,3599.18736184361
17,2894.43959099769,2599.28122717735,3189.59795481803,2555.67533446922,3208.25489883927
18,2546.57667317175,2287.21612600596,2805.93722033753,2248.72250117799,2822.49479875553
19,2211.09325860098,1986.23874772674,2435.94776947522,1952.68236387754,2450.47298333424
20,1892.89907623734,1700.76090888326,2085.03724359142,1671.89165236999,2097.62998104688
21,1591.41524572316,1430.27305014051,1752.55744130581,1405.84538774469,1763.31845270373
22,1305.69088777805,1173.9406067885,1437.44116876761,1153.71549844556,1446.47375571238
23,1040.60818165191,936.140188821395,1145.07617448243,919.807829905105,1152.5119579218
24,807.714861095434,727.192290660308,888.23743153056,714.288450975556,894.260702598165
25,618.835826072736,557.597245816345,680.074406329128,547.527514235275,684.892499407327
26,478.805134152321,431.541789504237,526.068478800405,423.70277991249,529.849368971455
27,350.825373237458,315.168639238273,386.482107236642,309.836442144493,388.79559524627
28,350.868807487091,315.299188643731,386.438426330451,309.930019699638,388.79257909108
29,93.5051587416123,82.1032658032912,104.907051679933,81.3802266716865,104.737126745185
30,93.5493413474965,82.2022944434463,104.896388251547,81.4582666459624,104.749945474038
31,93.5935356655709,82.3008297661544,104.886241564987,81.5358978255763,104.763165452892
