time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.53863e-07	1.51437
1	3.53863e-07	8.25601e-07	1.51437
2	8.25601e-07	1.45448e-06	679.884
3	1.45448e-06	2.29284e-06	1493.17
4	2.29284e-06	3.41046e-06	1615.52
5	3.41046e-06	4.90037e-06	1659.52
6	4.90037e-06	6.88658e-06	2440.35
7	6.88658e-06	9.53441e-06	4281.14
8	9.53441e-06	1.30643e-05	6587.9
9	1.30643e-05	1.77699e-05	7987.62
10	1.77699e-05	2.40431e-05	8071.87
11	2.40431e-05	3.24058e-05	7408.01
12	3.24058e-05	4.35543e-05	6559.46
13	4.35543e-05	5.84164e-05	5800.26
14	5.84164e-05	7.82292e-05	5204.56
15	7.82292e-05	0.000104642	4747
16	0.000104642	0.000139852	4350.85
17	0.000139852	0.000186792	3941.08
18	0.000186792	0.000249368	3485.62
19	0.000249368	0.000332788	3005.29
20	0.000332788	0.000443995	2535.98
21	0.000443995	0.000592247	2101.74
22	0.000592247	0.000789883	1711.3
23	0.000789883	0.00105335	1364.62
24	0.00105335	0.00140458	1063.09
25	0.00140458	0.00187282	812.966
26	0.00187282	0.00249702	619.181
27	0.00249702	0.00332914	425.013
28	0.00332914	0.00443846	425.013
29	0.00443846	0.00591729	72.0617
30	0.00591729	0.00788874	72.0617
31	0.00788874	inf	72.0617
