"time_index","mean","lowerci","upperci","t_test_lwr","t_test_upr"
0,1.9358339857588,1.35171931983936,2.51994865167824,1.41987529411299,2.41379390193066
1,1.98071813010013,1.42119916018246,2.5402371000178,1.48363998472907,2.44118799433397
2,382.42728465171,300.871170469957,463.983398833464,307.418304045729,451.912083847965
3,1346.14653700279,1123.42034144268,1568.87273256289,1130.68274308032,1545.74208321358
4,2034.38458532681,1703.0056660346,2365.76350461903,1712.56903387657,2332.49940824669
5,2343.1519420306,2029.25260167099,2657.05128239021,2020.40873835493,2642.12609843411
6,3146.81292253118,2781.32330298675,3512.30254207561,2750.63133330272,3513.81695258725
7,4683.14733355417,4178.67991069847,5187.61475640987,4118.52927340595,5206.18300495015
8,6448.21582276733,5772.19594503994,7124.23570049472,5682.26993126258,7157.75214810382
9,7538.17627550516,6755.63047572272,8320.7220752876,6647.49856260618,8363.25830607511
10,7590.16802081764,6806.2925631609,8374.04347847439,6695.82657476172,8418.64396183221
11,6969.66276716755,6251.16424690294,7688.16128743216,6149.22223504648,7729.6803699445
12,6157.85756925745,5523.45158287598,6792.26355563893,5433.22512237125,6829.1230584856
13,5421.23154671968,4863.42725216685,5979.03584127252,4783.71487448333,6011.79707096406
14,4846.25694960635,4348.70528258065,5343.80861663205,4277.01824867104,5373.57296576445
15,4409.37232584441,3957.76643543361,4860.9782162552,3892.1121735397,4888.5378540885
16,4032.63312884565,3620.40821302108,4444.85804467023,3560.04989832565,4470.41205359458
17,3646.41101714049,3274.16315804264,4018.65887623833,3219.38961640657,4041.98360115363
18,3225.23466203407,2896.32203512482,3554.14728894333,2847.7411501105,3574.92693437255
19,2784.42866206041,2500.79595401552,3068.0613701053,2458.72587414637,3086.14443839857
20,2352.71644656404,2113.43607072248,2591.99682240561,2077.73973326575,2607.44196813252
21,1952.30806561377,1754.17667634815,2150.43945487939,1724.38664507702,2163.44377243949
22,1591.20692965035,1430.18812312738,1752.22573617332,1405.72298560622,1763.03054999438
23,1269.00656224748,1141.08839813605,1396.92472635891,1121.37949033366,1405.7613530071
24,988.601192152496,889.41298653686,1087.78939776813,873.873363476336,1094.87966805475
25,756.907917409867,681.214318696405,832.601516123329,669.217046855508,838.140624248287
26,578.495762971367,520.290063646012,636.701462296723,511.26245526719,640.77754373126
27,405.886840236311,358.816489246561,452.957191226061,354.832178925887,453.181482298208
28,405.930506072075,358.937284244189,452.923727899962,354.923240463323,453.181242980391
29,80.8671408662765,66.222218712435,95.5120630201179,66.9875712605229,93.7245227316864
30,80.9117994952666,66.3011972593685,95.5224017311648,67.056279840678,93.7469026146668
31,80.9564701095706,66.3796709848859,95.5332692342554,67.1245919121995,93.7696728925817
