time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.59082e-07	1.9488
1	2.59082e-07	6.04466e-07	1.9488
2	6.04466e-07	1.0649e-06	1.95038
3	1.0649e-06	1.67871e-06	144.204
4	1.67871e-06	2.49698e-06	1078.42
5	2.49698e-06	3.58782e-06	2233.51
6	3.58782e-06	5.04203e-06	3634.44
7	5.04203e-06	6.98065e-06	5385
8	6.98065e-06	9.56504e-06	7127.45
9	9.56504e-06	1.30103e-05	8609.81
10	1.30103e-05	1.76032e-05	9758.38
11	1.76032e-05	2.3726e-05	10469.8
12	2.3726e-05	3.18884e-05	10569.9
13	3.18884e-05	4.27698e-05	10028.7
14	4.27698e-05	5.72757e-05	9033.33
15	5.72757e-05	7.66138e-05	7886.24
16	7.66138e-05	0.000102393	6825.19
17	0.000102393	0.00013676	5919.2
18	0.00013676	0.000182575	5125.43
19	0.000182575	0.000243652	4377.38
20	0.000243652	0.000325073	3639.97
21	0.000325073	0.000433616	2923.84
22	0.000433616	0.000578315	2270.06
23	0.000578315	0.000771215	1718.08
24	0.000771215	0.00102837	1283.56
25	0.00102837	0.00137119	959.882
26	0.00137119	0.0018282	727.896
27	0.0018282	0.00243744	500.747
28	0.00243744	0.00324963	500.747
29	0.00324963	0.00433237	109.263
30	0.00433237	0.00577576	109.263
31	0.00577576	inf	109.263
