time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.54605e-07	1.56481
1	4.54605e-07	1.05343e-06	1.56481
2	1.05343e-06	1.84224e-06	1230.79
3	1.84224e-06	2.88129e-06	3194.09
4	2.88129e-06	4.24999e-06	4478.13
5	4.24999e-06	6.05289e-06	6259.61
6	6.05289e-06	8.42777e-06	8442.25
7	8.42777e-06	1.15561e-05	10527.4
8	1.15561e-05	1.56768e-05	11922.9
9	1.56768e-05	2.11049e-05	12301.2
10	2.11049e-05	2.8255e-05	11725
11	2.8255e-05	3.76734e-05	10566.3
12	3.76734e-05	5.00799e-05	9186.91
13	5.00799e-05	6.64223e-05	7839.38
14	6.64223e-05	8.79493e-05	6641.84
15	8.79493e-05	0.000116306	5645.36
16	0.000116306	0.000153658	4840.49
17	0.000153658	0.00020286	4180.87
18	0.00020286	0.000267672	3602.92
19	0.000267672	0.000353046	3047.72
20	0.000353046	0.000465503	2494.15
21	0.000465503	0.000613638	1969.47
22	0.000613638	0.000808769	1515.07
23	0.000808769	0.0010658	1151.55
24	0.0010658	0.00140438	874.108
25	0.00140438	0.00185038	666.61
26	0.00185038	0.00243786	514.145
27	0.00243786	0.00321172	359.467
28	0.00321172	0.00423109	359.467
29	0.00423109	0.00557386	106.562
30	0.00557386	0.00734261	106.562
31	0.00734261	inf	106.562
