time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.4083e-07	1.14499
1	4.4083e-07	1.0285e-06	1.14499
2	1.0285e-06	1.81193e-06	1.14582
3	1.81193e-06	2.85633e-06	5.74151
4	2.85633e-06	4.24862e-06	112.663
5	4.24862e-06	6.1047e-06	464.28
6	6.1047e-06	8.57905e-06	992.009
7	8.57905e-06	1.18776e-05	1441.13
8	1.18776e-05	1.6275e-05	1605.33
9	1.6275e-05	2.21371e-05	1758.73
10	2.21371e-05	2.99519e-05	1968.4
11	2.99519e-05	4.037e-05	2152.26
12	4.037e-05	5.42583e-05	2312.41
13	5.42583e-05	7.2773e-05	2474.3
14	7.2773e-05	9.7455e-05	2627.58
15	9.7455e-05	0.000130359	2749.6
16	0.000130359	0.000174223	2827.44
17	0.000174223	0.000232699	2856.11
18	0.000232699	0.000310653	2829.42
19	0.000310653	0.000414574	2728.67
20	0.000414574	0.000553113	2530.96
21	0.000553113	0.000737799	2229.3
22	0.000737799	0.000984006	1846.8
23	0.000984006	0.00131223	1435.21
24	0.00131223	0.00174978	1056.61
25	0.00174978	0.00233308	754.967
26	0.00233308	0.00311069	539.688
27	0.00311069	0.00414732	345.87
28	0.00414732	0.00552927	345.87
29	0.00552927	0.00737154	81.1492
30	0.00737154	0.00982749	81.1492
31	0.00982749	inf	81.1492
