time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.98995e-07	1.26497
1	3.98995e-07	9.30898e-07	1.26497
2	9.30898e-07	1.63998e-06	84.0648
3	1.63998e-06	2.58526e-06	534.891
4	2.58526e-06	3.84543e-06	339.04
5	3.84543e-06	5.52536e-06	701.75
6	5.52536e-06	7.76489e-06	1552.38
7	7.76489e-06	1.07504e-05	2032.29
8	1.07504e-05	1.47305e-05	2240.54
9	1.47305e-05	2.00363e-05	2464.35
10	2.00363e-05	2.71095e-05	2717.48
11	2.71095e-05	3.65388e-05	2922.51
12	3.65388e-05	4.91092e-05	3046.45
13	4.91092e-05	6.58668e-05	3118.34
14	6.58668e-05	8.82065e-05	3177.06
15	8.82065e-05	0.000117988	3239.39
16	0.000117988	0.000157689	3295.79
17	0.000157689	0.000210615	3316.3
18	0.000210615	0.000281172	3267.75
19	0.000281172	0.000375231	3125.91
20	0.000375231	0.000500622	2878.69
21	0.000500622	0.000667782	2529.87
22	0.000667782	0.000890624	2105.34
23	0.000890624	0.0011877	1654.82
24	0.0011877	0.00158372	1237.07
25	0.00158372	0.00211167	893.443
26	0.00211167	0.00281548	634.553
27	0.00281548	0.00375374	379.809
28	0.00375374	0.00500454	379.809
29	0.00500454	0.00667198	60.8986
30	0.00667198	0.00889486	60.8986
31	0.00889486	inf	60.8986
