time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.03816e-07	1.25058
1	4.03816e-07	9.42145e-07	1.25058
2	9.42145e-07	1.6598e-06	533.835
3	1.6598e-06	2.6165e-06	187.503
4	2.6165e-06	3.89189e-06	179.012
5	3.89189e-06	5.59212e-06	664.371
6	5.59212e-06	7.85871e-06	1357.24
7	7.85871e-06	1.08803e-05	1685.39
8	1.08803e-05	1.49084e-05	2022.41
9	1.49084e-05	2.02784e-05	2421.67
10	2.02784e-05	2.7437e-05	2701.51
11	2.7437e-05	3.69803e-05	2851.23
12	3.69803e-05	4.97025e-05	2932.46
13	4.97025e-05	6.66626e-05	3000.41
14	6.66626e-05	8.92722e-05	3080.08
15	8.92722e-05	0.000119413	3166.42
16	0.000119413	0.000159594	3236.56
17	0.000159594	0.00021316	3260.95
18	0.00021316	0.000284569	3213.65
19	0.000284569	0.000379765	3078.52
20	0.000379765	0.000506671	2844.74
21	0.000506671	0.00067585	2509.51
22	0.00067585	0.000901384	2092.77
23	0.000901384	0.00120205	1643.11
24	0.00120205	0.00160286	1222.12
25	0.00160286	0.00213719	876.785
26	0.00213719	0.0028495	621.114
27	0.0028495	0.00379909	381.277
28	0.00379909	0.005065	381.277
29	0.005065	0.00675259	131.946
30	0.00675259	0.00900233	131.946
31	0.00900233	inf	131.946
