time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.89753e-07	1.29769
1	3.89753e-07	9.09335e-07	1.29769
2	9.09335e-07	1.60199e-06	101.807
3	1.60199e-06	2.52538e-06	852.764
4	2.52538e-06	3.75635e-06	1797.1
5	3.75635e-06	5.39737e-06	2837.91
6	5.39737e-06	7.58503e-06	4315.73
7	7.58503e-06	1.05014e-05	5983.4
8	1.05014e-05	1.43893e-05	7251.41
9	1.43893e-05	1.95722e-05	7687.88
10	1.95722e-05	2.64815e-05	7374.61
11	2.64815e-05	3.56925e-05	6636.49
12	3.56925e-05	4.79716e-05	5811.74
13	4.79716e-05	6.43411e-05	5084.74
14	6.43411e-05	8.61633e-05	4501.4
15	8.61633e-05	0.000115255	4023.93
16	0.000115255	0.000154036	3597.52
17	0.000154036	0.000205737	3191.35
18	0.000205737	0.000274659	2800.6
19	0.000274659	0.000366539	2431.01
20	0.000366539	0.000489026	2084.06
21	0.000489026	0.000652314	1755.97
22	0.000652314	0.000869994	1444.8
23	0.000869994	0.00116018	1155.92
24	0.00116018	0.00154704	902.369
25	0.00154704	0.00206276	696.685
26	0.00206276	0.00275027	543.329
27	0.00275027	0.00366679	402.35
28	0.00366679	0.00488861	402.35
29	0.00488861	0.00651743	84.9809
30	0.00651743	0.00868883	84.9809
31	0.00868883	inf	84.9809
