time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.43793e-07	1.47064
1	3.43793e-07	8.02106e-07	1.47064
2	8.02106e-07	1.41309e-06	251.47
3	1.41309e-06	2.22759e-06	2299.97
4	2.22759e-06	3.31341e-06	3498.71
5	3.31341e-06	4.76092e-06	3306.13
6	4.76092e-06	6.69061e-06	3813.21
7	6.69061e-06	9.26309e-06	5342.42
8	9.26309e-06	1.26925e-05	7254.25
9	1.26925e-05	1.72642e-05	8446.78
10	1.72642e-05	2.33589e-05	8460.29
11	2.33589e-05	3.14836e-05	7703.08
12	3.14836e-05	4.23148e-05	6735.12
13	4.23148e-05	5.6754e-05	5882.56
14	5.6754e-05	7.6003e-05	5250.92
15	7.6003e-05	0.000101664	4798.89
16	0.000101664	0.000135873	4413.95
17	0.000135873	0.000181476	4007.98
18	0.000181476	0.000242271	3556.48
19	0.000242271	0.000323317	3079.59
20	0.000323317	0.00043136	2608.59
21	0.00043136	0.000575393	2168.15
22	0.000575393	0.000767405	1767.73
23	0.000767405	0.00102338	1408.41
24	0.00102338	0.00136461	1095.6
25	0.00136461	0.00181952	837.947
26	0.00181952	0.00242596	639.207
27	0.00242596	0.0032344	435.419
28	0.0032344	0.00431215	435.419
29	0.00431215	0.0057489	86.7057
30	0.0057489	0.00766424	86.7057
31	0.00766424	inf	86.7057
