time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.40014e-07	1.48619
1	3.40014e-07	7.9329e-07	1.48619
2	7.9329e-07	1.39755e-06	370.457
3	1.39755e-06	2.2031e-06	967.811
4	2.2031e-06	3.27699e-06	1938.28
5	3.27699e-06	4.70859e-06	2935.12
6	4.70859e-06	6.61707e-06	4231.67
7	6.61707e-06	9.16127e-06	6075.26
8	9.16127e-06	1.2553e-05	7843.82
9	1.2553e-05	1.70745e-05	8693.45
10	1.70745e-05	2.31021e-05	8557.45
11	2.31021e-05	3.11376e-05	7878.52
12	3.11376e-05	4.18497e-05	7029.16
13	4.18497e-05	5.61302e-05	6232.42
14	5.61302e-05	7.51676e-05	5582.16
15	7.51676e-05	0.000100546	5059.47
16	0.000100546	0.000134379	4594.26
17	0.000134379	0.000179482	4125.86
18	0.000179482	0.000239608	3630.02
19	0.000239608	0.000319764	3118.88
20	0.000319764	0.000426619	2619.43
21	0.000426619	0.000569069	2164.83
22	0.000569069	0.00075897	1763.88
23	0.00075897	0.00101213	1410.78
24	0.00101213	0.00134961	1114.38
25	0.00134961	0.00179952	873.597
26	0.00179952	0.00239929	692.928
27	0.00239929	0.00319885	541.679
28	0.00319885	0.00426475	541.679
29	0.00426475	0.00568571	43.1358
30	0.00568571	0.00758	43.1358
31	0.00758	inf	43.1358
